return_period_years,mag_bin,dist_bin,fraction
975,7.75,270.0,0.00019591878560193862
975,7.75,290.0,0.00012650288182953058
975,8.25,10.0,0.001167530227657126
975,8.25,30.0,0.00013437591297679283
975,8.25,50.0,2.0904206815801777e-05
975,8.25,70.0,4.940841579705251e-06
975,8.25,90.0,0.04443674801215328
975,8.25,110.0,0.06799770829498361
975,8.25,130.0,0.00682473456005348
975,8.25,150.0,0.007811156466915025
975,8.25,170.0,0.003279471000782401
975,8.25,190.0,0.002978136366800249
975,8.25,210.0,0.0014731096813798378
975,8.25,230.0,0.0009333964816667553
975,8.25,250.0,0.0007277556635615071
975,8.25,270.0,0.00027305089680177373
975,8.25,290.0,0.00012064379068136273
975,8.75,90.0,0.013595438391008364
975,8.75,110.0,0.036818796551219585
975,8.75,130.0,0.003796704862036379
975,8.75,150.0,0.0015447636694549023
975,8.75,170.0,0.0004198962556528692
975,8.75,190.0,0.0005336496885568932
975,8.75,210.0,0.00026169657509428297
975,8.75,230.0,9.78406114573214e-05
975,8.75,250.0,6.778712427600822e-05
975,8.75,270.0,2.3906875833035617e-05
975,8.75,290.0,9.862480882129457e-08
975,9.25,110.0,0.011411530008909834
2475,4.25,10.0,0.00023269623407132716
2475,4.25,30.0,8.029803247822213e-05
2475,4.25,50.0,3.929544342481809e-06
2475,4.75,10.0,0.0021214056719625206
2475,4.75,30.0,0.000802704865951036
2475,4.75,50.0,0.00010863403298022177
2475,4.75,70.0,2.3550533458941315e-06
2475,4.75,90.0,1.9525254217259954e-10
2475,5.25,10.0,0.007889898223922647
2475,5.25,30.0,0.0030919140973489985
2475,5.25,50.0,0.00010303940238120189
2475,5.25,70.0,2.992523827591222e-06
2475,5.25,90.0,3.339037856030298e-09
2475,5.75,10.0,0.011506799727281938
2475,5.75,30.0,0.004822816807789254
2475,5.75,50.0,5.608985582374277e-05
2475,5.75,70.0,1.0694299842867603e-06
2475,5.75,90.0,8.288286982045026e-05
2475,5.75,110.0,6.837340057053152e-05
2475,5.75,130.0,8.51706095781993e-06
2475,5.75,150.0,1.6895707059416385e-07
2475,6.25,10.0,0.06385088682109508
2475,6.25,30.0,0.0038926447873330774
2475,6.25,50.0,9.410351704195098e-05
2475,6.25,70.0,4.448953400090327e-06
2475,6.25,90.0,0.002335319231239126
2475,6.25,110.0,0.002185275505735453
2475,6.25,130.0,0.0005123756971347937
2475,6.25,150.0,7.392427101623026e-05
2475,6.25,170.0,1.0355071312023893e-05
2475,6.25,190.0,1.8633018657305815e-06
2475,6.25,210.0,3.5070757039820985e-07
2475,6.25,230.0,4.096381880915225e-08
2475,6.25,250.0,3.219473097059436e-10
2475,6.75,10.0,0.07069665647145178
2475,6.75,30.0,0.003841967388195734
2475,6.75,50.0,0.00024101734237497988
2475,6.75,70.0,2.4254832962432358e-05
2475,6.75,90.0,0.0205372432886274
2475,6.75,110.0,0.019788025110180095
2475,6.75,130.0,0.0055357990634905575
2475,6.75,150.0,0.001475461490454683
2475,6.75,170.0,0.0003145766123474929
2475,6.75,190.0,0.00010276561361740684
2475,6.75,210.0,4.236495406832491e-05
