return_period_years,mag_bin,dist_bin,fraction
475,7.75,70.0,2.67156525514995e-05
475,7.75,90.0,1.3582850495742543e-05
475,7.75,110.0,7.972301903678507e-06
475,7.75,130.0,0.007503821519836627
475,7.75,150.0,0.026275739416536596
475,7.75,170.0,0.023801808113878498
475,7.75,190.0,0.017109682905263657
475,7.75,210.0,0.07815096110525419
475,7.75,230.0,0.017050840530970855
475,7.75,250.0,0.007801295231015518
475,7.75,270.0,0.006131822201194776
475,7.75,290.0,0.004140846006758609
475,8.25,130.0,0.0012470181327244323
475,8.25,150.0,0.00562858749155303
475,8.25,170.0,0.0016455101628960176
475,8.25,190.0,0.004545437420113127
475,8.25,210.0,0.09693354927877935
475,8.25,230.0,0.010108528503940941
475,8.25,250.0,0.0033239860366871547
475,8.25,270.0,0.003571690372397127
475,8.25,290.0,0.0032411541460185328
475,8.75,210.0,0.18371313291201938
475,8.75,230.0,0.006636111640330724
475,8.75,250.0,0.0028639124595623055
475,8.75,270.0,0.0022501690908566753
475,8.75,290.0,0.0022657897246290424
475,9.25,210.0,0.03551478272146822
975,4.25,10.0,0.00417776111964315
975,4.25,30.0,0.0017837415982838922
975,4.25,50.0,0.0002380352305142225
975,4.25,70.0,1.2824539064329309e-05
975,4.25,90.0,9.511820398370713e-07
975,4.25,110.0,3.321134089886144e-08
975,4.75,10.0,0.016022072278368094
975,4.75,30.0,0.009193424779297455
975,4.75,50.0,0.0015133489922177145
975,4.75,70.0,0.00016257360162746568
975,4.75,90.0,2.1765022706915798e-05
975,4.75,110.0,1.5326136902424006e-06
975,4.75,210.0,2.3342272921493745e-09
975,4.75,230.0,9.705027157096115e-10
975,5.25,10.0,0.03044965044330493
975,5.25,30.0,0.018731106177384094
975,5.25,50.0,0.0022691317840147413
975,5.25,70.0,0.00026105658635374287
975,5.25,90.0,3.659280727637051e-05
975,5.25,110.0,2.6306150775875243e-06
975,5.25,130.0,3.5222247629683984e-09
975,5.25,210.0,4.489297337515339e-08
975,5.25,230.0,5.754348547196757e-08
975,5.25,250.0,1.4028411704557096e-08
975,5.25,270.0,1.1105217272079098e-09
975,5.75,10.0,0.02896133152377753
975,5.75,30.0,0.020241663927505954
975,5.75,50.0,0.0025880792831525336
975,5.75,70.0,0.0003403596183176704
975,5.75,90.0,5.0980366338738245e-05
975,5.75,110.0,4.351917262379035e-06
975,5.75,130.0,7.304726462412709e-05
975,5.75,150.0,0.00023702641409558295
975,5.75,170.0,0.00012804990722305152
975,5.75,190.0,4.703431387474197e-05
975,5.75,210.0,2.1011446554793668e-05
975,5.75,230.0,7.990399031508782e-06
975,5.75,250.0,2.5379865501323796e-06
975,5.75,270.0,7.274964750639401e-07
975,5.75,290.0,2.1328000973316024e-07
975,6.25,10.0,0.019478658116280252
975,6.25,30.0,0.01375810810145655
975,6.25,50.0,0.002361491365030162
975,6.25,70.0,0.0004679980106397855
975,6.25,90.0,0.00010156324175178449
975,6.25,110.0,1.3893656823576865e-05
975,6.25,130.0,0.0009989394954224894
975,6.25,150.0,0.003335559851523524
975,6.25,170.0,0.002306915580667393
975,6.25,190.0,0.0011195382464758508
975,6.25,210.0,0.0005863868169636225
975,6.25,230.0,0.00028854454508924957
975,6.25,250.0,0.0001108628252495958
975,6.25,270.0,4.7248588084380576e-05
975,6.25,290.0,1.8358768852530384e-05
975,6.75,10.0,0.013231875467716819
975,6.75,30.0,0.009640972502465756
975,6.75,50.0,0.002323630853540923
975,6.75,70.0,0.0006960622075236039
975,6.75,90.0,0.0002240156697641349
975,6.75,110.0,4.0571153599659394e-05
975,6.75,130.0,0.006187591808798792
975,6.75,150.0,0.017691921145278344
975,6.75,170.0,0.01327802969025528
975,6.75,190.0,0.009091720540998044
975,6.75,210.0,0.005348211375695716
975,6.75,230.0,0.0030678810462192083
975,6.75,250.0,0.001324058687300677
975,6.75,270.0,0.0006203029240797183
975,6.75,290.0,0.0004350902078016944
975,7.25,10.0,0.005651429744063468
975,7.25,30.0,0.0038873693436633446
975,7.25,50.0,0.0011543681135491434
975,7.25,70.0,0.00040934925469457293
975,7.25,90.0,0.0001611043560620847
975,7.25,110.0,4.057436235063851e-05
975,7.25,130.0,0.015968022511671145
975,7.25,150.0,0.042031118370059635
975,7.25,170.0,0.034287445116608015
975,7.25,190.0,0.027174676870536797
975,7.25,210.0,0.024851201253065783
975,7.25,230.0,0.012276698766852874
975,7.25,250.0,0.007112413313891608
975,7.25,270.0,0.00395311495931092
975,7.25,290.0,0.0017246955766985995
975,7.75,10.0,3.551697791031678e-05
975,7.75,30.0,0.00011321078176290353
975,7.75,50.0,8.2986192566074e-05
975,7.75,70.0,2.8642747354172815e-05
975,7.75,90.0,1.2742480349147098e-05
975,7.75,110.0,6.898985354703864e-06
975,7.75,130.0,0.010711799333551248
975,7.75,150.0,0.0357885332575188
975,7.75,170.0,0.030211821710967715
975,7.75,190.0,0.020168748008397262
975,7.75,210.0,0.06529679843511411
975,7.75,230.0,0.016430475540707385
975,7.75,250.0,0.007335361853863481
975,7.75,270.0,0.005493042506694428
975,7.75,290.0,0.003532415319140833
975,8.25,130.0,0.001870405669900373
975,8.25,150.0,0.008066420832853385
975,8.25,170.0,0.0022319794463769795
975,8.25,190.0,0.005686447332374785
975,8.25,210.0,0.08763181601750196
975,8.25,230.0,0.009581074399297831
975,8.25,250.0,0.003074780522830722
975,8.25,270.0,0.003266633980605185
975,8.25,290.0,0.0028042881453197886
975,8.75,210.0,0.18362588044329
975,8.75,230.0,0.006222307494912874
975,8.75,250.0,0.0025928675815669448
975,8.75,270.0,0.001998958449884697
975,8.75,290.0,0.0019978841842085465
975,9.25,210.0,0.03763691483404931
2475,4.25,10.0,0.00298358225077911
2475,4.25,30.0,0.0010678085429552187
2475,4.25,50.0,0.00011192987894338912
2475,4.25,70.0,4.063671820166909e-06
2475,4.25,90.0,1.7763716022647278e-07
2475,4.75,10.0,0.014406314408190186
2475,4.75,30.0,0.0067242915829012736
2475,4.75,50.0,0.0009109594456042073
2475,4.75,70.0,7.282941799884377e-05
2475,4.75,90.0,7.470967528217937e-06
2475,4.75,110.0,4.2362245751365226e-07
2475,5.25,10.0,0.03275019044289679
2475,5.25,30.0,0.015601614273306714
2475,5.25,50.0,0.001231240051716764
2475,5.25,70.0,0.00010594193081701482
2475,5.25,90.0,1.1491470550451475e-05
2475,5.25,110.0,6.691882449067617e-07
2475,5.25,210.0,4.0245620195929696e-09
2475,5.25,230.0,1.0095567092473467e-09
2475,5.75,10.0,0.035671672023674
2475,5.75,30.0,0.018516350348705028
2475,5.75,50.0,0.0013470015268739572
2475,5.75,70.0,0.00012562905242370498
2475,5.75,90.0,1.4245949011429345e-05
2475,5.75,110.0,9.157488310063304e-07
2475,5.75,130.0,3.55231527710787e-05
2475,5.75,150.0,0.00010227425583962393
2475,5.75,170.0,4.63976505302659e-05
2475,5.75,190.0,1.3880435370004917e-05
2475,5.75,210.0,5.241549290436199e-06
2475,5.75,230.0,1.6793396470072005e-06
2475,5.75,250.0,4.0913556470266595e-07
2475,5.75,270.0,5.997105740400671e-08
2475,5.75,290.0,1.1625206751828477e-08
2475,6.25,10.0,0.02695016347894038
2475,6.25,30.0,0.01371171304290722
2475,6.25,50.0,0.0014324703642104601
2475,6.25,70.0,0.0002128139754676758
2475,6.25,90.0,3.6633448973839565e-05
2475,6.25,110.0,4.192014518117544e-06
2475,6.25,130.0,0.0007165216462811461
2475,6.25,150.0,0.002163653251067975
2475,6.25,170.0,0.001317514745149475
2475,6.25,190.0,0.0005677368630536349
2475,6.25,210.0,0.000267205441962012
2475,6.25,230.0,0.00012343740784065215
2475,6.25,250.0,4.368517826455732e-05
2475,6.25,270.0,1.709723587125214e-05
2475,6.25,290.0,5.8734189190333435e-06
2475,6.75,10.0,0.020879554511674604
2475,6.75,30.0,0.010801003941915363
2475,6.75,50.0,0.0017332169179013561
2475,6.75,70.0,0.0004057084041762694
2475,6.75,90.0,0.00010606148293793434
2475,6.75,110.0,1.5695076113277357e-05
2475,6.75,130.0,0.0061727936515938485
2475,6.75,150.0,0.016184692487196874
2475,6.75,170.0,0.010806116234331566
2475,6.75,190.0,0.006666373582322175
2475,6.75,210.0,0.003562871728701822
2475,6.75,230.0,0.0018850457728722969
2475,6.75,250.0,0.0007647636142585133
2475,6.75,270.0,0.0003411995322981858
2475,6.75,290.0,0.00023073133924372108
2475,7.25,10.0,0.009656238789603947
2475,7.25,30.0,0.004740573915439034
2475,7.25,50.0,0.0009412411767142444
2475,7.25,70.0,0.00026341701317965973
2475,7.25,90.0,8.680426441212958e-05
2475,7.25,110.0,1.886918499201469e-05
2475,7.25,130.0,0.02117740558347996
2475,7.25,150.0,0.05099378502466955
2475,7.25,170.0,0.037377718870035374
2475,7.25,190.0,0.027155416946250774
2475,7.25,210.0,0.021026527469931118
2475,7.25,230.0,0.009813891580730462
2475,7.25,250.0,0.005684968636028426
2475,7.25,270.0,0.0030405558110567087
2475,7.25,290.0,0.001179738535316592
2475,7.75,10.0,7.693507906990639e-05
2475,7.75,30.0,0.00020210710129052697
2475,7.75,50.0,0.00010790706192097767
2475,7.75,70.0,2.8131936943335124e-05
2475,7.75,90.0,1.1048762989072942e-05
2475,7.75,110.0,5.675107709975134e-06
2475,7.75,130.0,0.01590838344057935
2475,7.75,150.0,0.04992760596363529
2475,7.75,170.0,0.038547271603731004
2475,7.75,190.0,0.0234429552617394
2475,7.75,210.0,0.0527199491272005
2475,7.75,230.0,0.015536940403677903
2475,7.75,250.0,0.006678558359793534
2475,7.75,270.0,0.004686522916888909
2475,7.75,290.0,0.002849372865198491
2475,8.25,130.0,0.0029655675757389397
2475,8.25,150.0,0.012019045738468816
2475,8.25,170.0,0.0030976441320236547
2475,8.25,190.0,0.007122783817287351
2475,8.25,210.0,0.07340489759367423
2475,8.25,230.0,0.008727543027849049
2475,8.25,250.0,0.002722951866369502
2475,8.25,270.0,0.0028368300167651507
2475,8.25,290.0,0.002264545843829126
2475,8.75,210.0,0.1722168008051025
2475,8.75,230.0,0.005413734193167538
2475,8.75,250.0,0.002167707132866367
2475,8.75,270.0,0.0016397550090600347
2475,8.75,290.0,0.0016316924842077244
2475,9.25,210.0,0.03788314759563051
