imt,level,mean_poe,p16_poe,p84_poe
SA(0.5),0.027439886333575234,1.0,1.0,1.0
SA(0.5),0.03315425173341567,1.0,1.0,1.0
SA(0.5),0.04005863561678525,0.9999995231628418,0.9999982118606567,1.0
SA(0.5),0.0484008597262664,0.9999802112579346,0.9999420642852783,0.9999995827674866
SA(0.5),0.05848035476425732,0.9996715188026428,0.9991908073425293,0.9999868273735046
SA(0.5),0.0706589079759143,0.9972313642501831,0.9936164021492004,0.9997742176055908
SA(0.5),0.08537364891979435,0.9862734079360962,0.9716255068778992,0.9979421496391296
SA(0.5),0.10315273952952697,0.9547577500343323,0.9220152497291565,0.9891152381896973
SA(0.5),0.12463433163601581,0.8906263113021851,0.8295369148254395,0.9616918563842773
SA(0.5),0.15058947239990575,0.7906010746955872,0.68961501121521,0.9029529094696045
SA(0.5),0.1819497798079332,0.6634663939476013,0.5341691970825195,0.8071212768554688
SA(0.5),0.2198408816005392,0.5256979465484619,0.3892163634300232,0.6799301505088806
SA(0.5),0.26562281786721387,0.39417314529418945,0.26710447669029236,0.5375635027885437
SA(0.5),0.3209388574956752,0.2808520495891571,0.17522095143795013,0.39992818236351013
SA(0.5),0.38777448066272807,0.19110257923603058,0.1108093410730362,0.2813708782196045
SA(0.5),0.46852864444834325,0.12481324374675751,0.06794770061969757,0.18836915493011475
SA(0.5),0.5660998895374224,0.07862125337123871,0.040518734604120255,0.1207704246044159
SA(0.5),0.6839903786706788,0.04797014966607094,0.023502102121710777,0.07460926473140717
SA(0.5),0.8264316011372962,0.02845773659646511,0.013231455348432064,0.04466661810874939
SA(0.5),0.998536255269745,0.016469592228531837,0.007203181739896536,0.02605096809566021
SA(0.5),1.2064817605183529,0.009326659142971039,0.0037908880040049553,0.014874082058668137
SA(0.5),1.4577319859760607,0.005182286258786917,0.002005241811275482,0.008350462652742863
SA(0.5),1.7613051539417657,0.0028322588186711073,0.0010653708595782518,0.004626650363206863
SA(0.5),2.1280975344892874,0.0015256054466590285,0.0005572529626078904,0.002536595333367586
SA(0.5),2.571274549537323,0.0008110873750410974,0.00028401691815815866,0.0013779678847640753
SA(0.5),3.1067433244712737,0.00042586930794641376,0.00014072559133637697,0.000741944182664156
SA(0.5),3.753723648796502,0.00022077311587054282,6.535032298415899e-05,0.00039568913052789867
SA(0.5),4.535437839536395,0.00011286863446002826,2.8904612918267958e-05,0.00021000663400627673
SA(0.5),5.479944268911139,5.6800548918545246e-05,1.3089274034427945e-05,0.00010817425936693326
SA(0.5),6.621144474431075,2.8073254725313745e-05,5.751187472924357e-06,5.4678483138559386e-05
SA(0.5),7.999999999999999,1.3593257790489588e-05,2.435527449051733e-06,2.7027646865462884e-05
SA(0.6),0.005,1.0,1.0,1.0
SA(0.6),0.006041251652862785,1.0,1.0,1.0
SA(0.6),0.007299344306643466,1.0,1.0,1.0
SA(0.6),0.008819435171464881,1.0,1.0,1.0
SA(0.6),0.010656085461385679,1.0,1.0,1.0
SA(0.6),0.012875218781328664,1.0,1.0,1.0
SA(0.6),0.015556487348734355,1.0,1.0,1.0
SA(0.6),0.01879613098165608,1.0,1.0,1.0
SA(0.6),0.02271043147207104,1.0,1.0,1.0
SA(0.6),0.027439886333575234,1.0,1.0,1.0
SA(0.6),0.03315425173341567,0.9999992251396179,0.9999985694885254,1.0
SA(0.6),0.04005863561678525,0.999975323677063,0.999947726726532,0.9999997019767761
SA(0.6),0.0484008597262664,0.999646782875061,0.9993602633476257,0.9999877214431763
SA(0.6),0.05848035476425732,0.9972856640815735,0.9956454634666443,0.999793529510498
SA(0.6),0.0706589079759143,0.9871971607208252,0.9775257110595703,0.9982035756111145
SA(0.6),0.08537364891979435,0.9586909413337708,0.9254273772239685,0.9909432530403137
SA(0.6),0.10315273952952697,0.9004921913146973,0.8245070576667786,0.9684193134307861
SA(0.6),0.12463433163601581,0.8082438111305237,0.6841559410095215,0.9179314374923706
SA(0.6),0.15058947239990575,0.6882104873657227,0.5313825607299805,0.8311545252799988
SA(0.6),0.1819497798079332,0.5545617341995239,0.38636088371276855,0.7111296653747559
SA(0.6),0.2198408816005392,0.4233115017414093,0.2661582827568054,0.5719607472419739
SA(0.6),0.26562281786721387,0.3070468008518219,0.17545874416828156,0.4326210916042328
SA(0.6),0.3209388574956752,0.21252897381782532,0.111604705452919,0.30906546115875244
SA(0.6),0.38777448066272807,0.1410270482301712,0.06889314204454422,0.20972315967082977
SA(0.6),0.46852864444834325,0.09011848270893097,0.04139922931790352,0.13600443303585052
SA(0.6),0.5660998895374224,0.055685658007860184,0.024228110909461975,0.0847933292388916
SA(0.6),0.6839903786706788,0.033394187688827515,0.013783699832856655,0.05110785737633705
SA(0.6),0.8264316011372962,0.01949724368751049,0.007596191018819809,0.029933499172329903
SA(0.6),0.998536255269745,0.011113906279206276,0.004036813508719206,0.017117084935307503
SA(0.6),1.2064817605183529,0.006200714968144894,0.0020873539615422487,0.009598166681826115
SA(0.6),1.4577319859760607,0.003393742023035884,0.00109025277197361,0.005303935147821903
SA(0.6),1.7613051539417657,0.001825687475502491,0.0005723441718146205,0.002952206414192915
SA(0.6),2.1280975344892874,0.0009668379789218307,0.0002950521884486079,0.001586988102644682
SA(0.6),2.571274549537323,0.0005045214202255011,0.00014807510888203979,0.0008445244748145342
SA(0.6),3.1067433244712737,0.0002594885299913585,7.219859980978072e-05,0.00044452850124798715
SA(0.6),3.753723648796502,0.00013148026482667774,3.412501610000618e-05,0.00023105235595721751
SA(0.6),4.535437839536395,6.555527943419293e-05,1.4892564649926499e-05,0.00011829592403955758
SA(0.6),5.479944268911139,3.210973954992369e-05,6.654601747868583e-06,5.948726538917981e-05
SA(0.6),6.621144474431075,1.5420193449244834e-05,2.8706613193207886e-06,2.929501533799339e-05
SA(0.6),7.999999999999999,7.245353117468767e-06,1.194029664475238e-06,1.4089152500673663e-05
SA(0.7),0.005,1.0,1.0,1.0
SA(0.7),0.006041251652862785,1.0,1.0,1.0
SA(0.7),0.007299344306643466,1.0,1.0,1.0
SA(0.7),0.008819435171464881,1.0,1.0,1.0
SA(0.7),0.010656085461385679,1.0,1.0,1.0
SA(0.7),0.012875218781328664,1.0,1.0,1.0
SA(0.7),0.015556487348734355,1.0,1.0,1.0
SA(0.7),0.01879613098165608,1.0,1.0,1.0
SA(0.7),0.02271043147207104,1.0,1.0,1.0
SA(0.7),0.027439886333575234,0.9999992251396179,0.9999991655349731,1.0
SA(0.7),0.03315425173341567,0.9999783635139465,0.9999672770500183,0.9999998211860657
SA(0.7),0.04005863561678525,0.9997099041938782,0.9996036887168884,0.9999920725822449
SA(0.7),0.0484008597262664,0.9978225827217102,0.9968553185462952,0.9998630285263062
SA(0.7),0.05848035476425732,0.9896920323371887,0.981992244720459,0.9987940192222595
SA(0.7),0.0706589079759143,0.9661002159118652,0.9357579350471497,0.9935479164123535
SA(0.7),0.08537364891979435,0.9161865711212158,0.8453328013420105,0.9761980175971985
SA(0.7),0.10315273952952697,0.8339290022850037,0.7130082249641418,0.9348442554473877
SA(0.7),0.12463433163601581,0.7226200103759766,0.5602935552597046,0.8595396280288696
SA(0.7),0.15058947239990575,0.5938872694969177,0.41329941153526306,0.7496816515922546
SA(0.7),0.1819497798079332,0.46282413601875305,0.28819262981414795,0.6162118911743164
SA(0.7),0.2198408816005392,0.34275421500205994,0.192561075091362,0.4767899513244629
SA(0.7),0.26562281786721387,0.24208159744739532,0.12399232387542725,0.34822070598602295
SA(0.7),0.3209388574956752,0.16376225650310516,0.07742910832166672,0.24118797481060028
SA(0.7),0.38777448066272807,0.10657744109630585,0.04707713797688484,0.15935459733009338
SA(0.7),0.46852864444834325,0.06701211631298065,0.027910346165299416,0.10108035802841187
SA(0.7),0.5660998895374224,0.04086460545659065,0.016123080626130104,0.06191231310367584
SA(0.7),0.6839903786706788,0.024251030758023262,0.009052001871168613,0.03681754320859909
SA(0.7),0.8264316011372962,0.01404826994985342,0.004920228384435177,0.021365614607930183
SA(0.7),0.998536255269745,0.007965471595525742,0.002577598439529538,0.012179983779788017
SA(0.7),1.2064817605183529,0.00443171476945281,0.001295479480177164,0.006951230112463236
SA(0.7),1.4577319859760607,0.0024246652610599995,0.0006556144799105823,0.0038422534707933664
SA(0.7),1.7613051539417657,0.001306869089603424,0.0003377821412868798,0.0021031941287219524
SA(0.7),2.1280975344892874,0.0006948064547032118,0.00017123634461313486,0.0011415313929319382
SA(0.7),2.571274549537323,0.0003645878459792584,8.44035530462861e-05,0.0006142212660051882
SA(0.7),3.1067433244712737,0.00018879018898587674,4.036992686451413e-05,0.00032713968539610505
SA(0.7),3.753723648796502,9.638575284043327e-05,1.878717193903867e-05,0.0001720399159239605
SA(0.7),4.535437839536395,4.844674913329072e-05,8.020349923754111e-06,8.906420407583937e-05
SA(0.7),5.479944268911139,2.3928567316033877e-05,3.501018227325403e-06,4.524712494458072e-05
SA(0.7),6.621144474431075,1.1589659152377862e-05,1.4735938975718454e-06,2.2491482013720088e-05
SA(0.7),7.999999999999999,5.49294964002911e-06,5.973639645162621e-07,1.0910683158726897e-05
SA(0.8),0.005,1.0,1.0,1.0
SA(0.8),0.006041251652862785,1.0,1.0,1.0
SA(0.8),0.007299344306643466,1.0,1.0,1.0
SA(0.8),0.008819435171464881,1.0,1.0,1.0
SA(0.8),0.010656085461385679,1.0,1.0,1.0
SA(0.8),0.012875218781328664,1.0,1.0,1.0
SA(0.8),0.015556487348734355,1.0,1.0,1.0
SA(0.8),0.01879613098165608,1.0,1.0,1.0
SA(0.8),0.02271043147207104,0.9999996423721313,0.9999995827674866,1.0
SA(0.8),0.027439886333575234,0.999988853931427,0.9999884366989136,0.9999995231628418
