imt,level,mean_poe,p16_poe,p84_poe
SA(0.2),0.0016,0.5761455297470093,0.5464276671409607,0.6179153323173523
SA(0.2),0.012,0.179010808467865,0.1493149995803833,0.21049131453037262
SA(0.2),0.016,0.13605572283267975,0.10980068892240524,0.16271238029003143
SA(0.2),0.021,0.10234497487545013,0.08028928935527802,0.12446634471416473
SA(0.2),0.028,0.07383907586336136,0.05627814680337906,0.09162487089633942
SA(0.2),0.037,0.052554868161678314,0.038922931998968124,0.06681597232818604
SA(0.2),0.048,0.03745604678988457,0.027169713750481606,0.048661526292562485
SA(0.2),0.063,0.025694189593195915,0.01766812987625599,0.0337974987924099
SA(0.2),0.083,0.017074409872293472,0.010889717377722263,0.022853126749396324
SA(0.2),0.11,0.010900331661105156,0.006351275835186243,0.014821168966591358
SA(0.2),0.14,0.007213841192424297,0.0038558978121727705,0.009905106388032436
SA(0.2),0.18,0.004547052085399628,0.00222216104157269,0.00635274313390255
SA(0.2),0.24,0.0025670058093965054,0.0011186542687937617,0.0036982509773224592
SA(0.2),0.32,0.0013776038540527225,0.0005415244959294796,0.0020737629383802414
SA(0.2),0.41,0.0007714528474025428,0.0002774573222268373,0.0011824342655017972
SA(0.2),0.54,0.00038517004577443004,0.00013230173499323428,0.000587070535402745
SA(0.2),0.7,0.0001902214135043323,6.240280345082283e-05,0.000287006376311183
SA(0.2),0.92,8.550810889573768e-05,2.6585461455397308e-05,0.00012725252599921077
SA(0.2),1.2,3.703892798512243e-05,1.0940051652141847e-05,5.500132465385832e-05
SA(0.2),1.57,1.491030980105279e-05,3.7996048831701046e-06,2.1678682969650254e-05
SA(0.2),2.05,5.647302259603748e-06,1.1720242127921665e-06,8.05256513558561e-06
SA(0.2),2.67,2.0117461190238828e-06,3.415909475279477e-07,2.804291852953611e-06
SA(0.2),3.49,6.555307550115685e-07,9.742439033288974e-08,8.713223564882355e-07
SA(0.2),4.55,1.9979555077043187e-07,2.3751036692942762e-08,2.4905730811042304e-07
SA(0.2),5.94,5.570650785102771e-08,4.255555907661801e-09,6.526001072870713e-08
SA(0.2),7.76,1.4186689156758803e-08,7.131312207420137e-10,1.5124221874884825e-08
SA(0.2),10.34,2.945499844031474e-09,9.681588863941215e-11,2.4311557211831314e-09
SA(0.3),0.0012,0.602550208568573,0.5709278583526611,0.6467064023017883
SA(0.3),0.011,0.1696958988904953,0.14568890631198883,0.1937122642993927
SA(0.3),0.014,0.13433115184307098,0.11312314122915268,0.15584751963615417
SA(0.3),0.019,0.09725654125213623,0.07964439690113068,0.11449241638183594
SA(0.3),0.025,0.07103529572486877,0.05671191215515137,0.08516507595777512
SA(0.3),0.033,0.05055687204003334,0.03943212702870369,0.06193811818957329
SA(0.3),0.043,0.03577612712979317,0.02725316397845745,0.04422088712453842
SA(0.3),0.057,0.02412763237953186,0.017472892999649048,0.030643902719020844
SA(0.3),0.075,0.01596655882894993,0.010995766147971153,0.02077454701066017
SA(0.3),0.098,0.010338693857192993,0.006672055460512638,0.013860161416232586
SA(0.3),0.13,0.006280019413679838,0.0037950179539620876,0.008695398457348347
SA(0.3),0.17,0.00375230866484344,0.002032045042142272,0.00542857451364398
SA(0.3),0.22,0.0021942376624792814,0.0010513324523344636,0.003193860873579979
SA(0.3),0.29,0.0011770130367949605,0.0004884466761723161,0.0017504023853689432
SA(0.3),0.37,0.0006510188686661422,0.00023799220798537135,0.0009795434307307005
SA(0.3),0.49,0.00031236358336173,9.843892621574923e-05,0.00047399563482031226
SA(0.3),0.64,0.00014740564802195877,4.5093380322214216e-05,0.00022423540940508246
SA(0.3),0.83,6.741227844031528e-05,1.9724022422451526e-05,0.00010276096872985363
SA(0.3),1.09,2.803655843308661e-05,7.805686436768156e-06,4.212036219541915e-05
SA(0.3),1.42,1.1276073564658873e-05,2.890041741920868e-06,1.6653946659062058e-05
SA(0.3),1.85,4.261355570633896e-06,9.206014510709792e-07,5.756131031375844e-06
SA(0.3),2.42,1.483760343035101e-06,2.3077234345691977e-07,1.935828322530142e-06
SA(0.3),3.16,4.849947572438396e-07,5.109821898940936e-08,6.048734917385445e-07
SA(0.3),4.12,1.483871017171623e-07,1.010215200381026e-08,1.6292786142457771e-07
SA(0.3),5.38,4.1695958685750156e-08,2.0965447156129358e-09,4.20605985596012e-08
SA(0.3),7.02,1.0875272238308753e-08,3.638375156711504e-10,1.010719152816364e-08
SA(0.3),9.36,2.2957487022523537e-09,4.78063144626617e-11,1.880342104243482e-09
SA(0.6),0.00048,0.6429899334907532,0.609716534614563,0.6798449754714966
SA(0.6),0.0064,0.17861297726631165,0.14872533082962036,0.19952116906642914
SA(0.6),0.0087,0.13503029942512512,0.10832075774669647,0.15261238813400269
SA(0.6),0.012,0.0976962223649025,0.07621217519044876,0.11138339340686798
