return_period_years,mag_bin,dist_bin,fraction
975,7.25,130.0,0.036447696744871236
975,7.25,150.0,0.02360125085224396
975,7.25,170.0,0.01234292637728703
975,7.25,190.0,0.004687848552895488
975,7.25,210.0,0.0012396959977805052
975,7.25,230.0,0.0001364985178188586
975,7.25,250.0,1.676807739646537e-05
975,7.25,270.0,3.1404786574782897e-06
975,7.75,10.0,0.0004575154762826842
975,7.75,30.0,0.0032330775739622987
975,7.75,50.0,0.03507141267950929
975,7.75,70.0,0.028351334395336537
975,7.75,90.0,0.018898095637263176
975,7.75,110.0,0.002053179383192412
975,7.75,130.0,0.0014691293509907508
975,7.75,150.0,0.00019778978175333633
975,7.75,170.0,0.0002671744529808078
975,7.75,190.0,5.6011943786431164e-05
975,7.75,210.0,1.3844968495766274e-05
975,7.75,250.0,5.195345692436449e-07
975,7.75,270.0,3.811535901430633e-08
975,8.25,30.0,0.0005413221620429863
975,8.25,50.0,0.0012885608715367926
975,8.25,70.0,0.17340147504224418
975,8.25,90.0,0.012143374966462462
975,8.25,110.0,0.0034346680946307113
975,8.25,130.0,0.001885080897353062
975,8.25,150.0,2.131575000376246e-06
975,8.25,170.0,0.0004341113528167917
975,8.25,190.0,0.00011760284972596868
975,8.25,210.0,7.45201623482858e-08
975,8.25,230.0,1.2642632265425857e-06
975,8.25,250.0,2.520296691642818e-06
975,8.25,270.0,1.4173602075647579e-06
975,8.25,290.0,3.986347157038259e-07
2475,5.25,10.0,0.14040124147626412
2475,5.25,30.0,0.025388414652721725
2475,5.25,50.0,0.0028192570763632186
2475,5.75,10.0,0.09496754354981579
2475,5.75,30.0,0.03175768202609978
2475,5.75,50.0,0.00178433527584929
2475,5.75,70.0,5.175506846975253e-05
2475,5.75,90.0,3.8664597268999776e-06
2475,6.25,10.0,0.020094390852226803
2475,6.25,30.0,0.013028222224052114
2475,6.25,50.0,0.0017701196350211094
2475,6.25,70.0,0.0008201751921041512
2475,6.25,90.0,0.002520189143305732
2475,6.25,110.0,0.0007154028499857455
2475,6.25,130.0,0.00016947781783943768
2475,6.25,150.0,1.490757097009812e-07
2475,6.75,10.0,0.025822588252689755
2475,6.75,30.0,0.011057716045901802
2475,6.75,50.0,0.004397381608464381
2475,6.75,70.0,0.006307577132314888
2475,6.75,90.0,0.02368910269127618
2475,6.75,110.0,0.01965692213899743
2475,6.75,130.0,0.009108768307721959
2475,6.75,150.0,0.0027317054108364517
2475,6.75,170.0,0.0005685309341787614
2475,6.75,190.0,3.6778802236383145e-05
2475,6.75,210.0,2.3405863823876172e-08
2475,7.25,10.0,0.0152072971125627
2475,7.25,30.0,0.0047403697679821695
2475,7.25,50.0,0.00938405289240168
2475,7.25,70.0,0.02368985323647328
2475,7.25,90.0,0.06545757660856755
2475,7.25,110.0,0.06477146957334966
2475,7.25,130.0,0.038572075894506674
2475,7.25,150.0,0.02177187779582459
2475,7.25,170.0,0.009670026760339063
2475,7.25,190.0,0.002945581960988416
2475,7.25,210.0,0.0005648619568382645
2475,7.25,230.0,3.2756061347810705e-05
2475,7.25,250.0,3.001844781455837e-06
2475,7.25,270.0,2.843743220913666e-07
2475,7.75,10.0,0.0006365559161808268
2475,7.75,30.0,0.0034579910580617578
2475,7.75,50.0,0.04100750748701108
2475,7.75,70.0,0.027846744998981487
2475,7.75,90.0,0.013448388534589838
2475,7.75,110.0,0.0011769705464828868
2475,7.75,130.0,0.0006404622331047119
2475,7.75,150.0,3.58781161334012e-05
2475,7.75,170.0,5.5817640812843264e-05
2475,8.25,30.0,0.000623353045782343
2475,8.25,50.0,0.0016280556335243207
2475,8.25,70.0,0.1969694629056721
2475,8.25,90.0,0.01191727310277863
2475,8.25,110.0,0.002674349525120478
2475,8.25,130.0,0.0011820862626568643
2475,8.25,170.0,0.00020616966364847862
2475,8.25,190.0,1.2530383135354594e-05
