building_id,resident_population
lomas_centinela_436,0.6689
lomas_centinela_437,0.8173
lomas_centinela_438,0.8356
lomas_centinela_439,1.4666
lomas_centinela_440,4.1020
lomas_centinela_441,2.5998
lomas_centinela_442,3.9241
lomas_centinela_443,1.0240
lomas_centinela_444,2.4884
lomas_centinela_445,0.9989
lomas_centinela_446,0.6999
lomas_centinela_447,2.2824
lomas_centinela_448,1.2489
lomas_centinela_449,1.4506
lomas_centinela_450,3.2409
lomas_centinela_451,1.9843
lomas_centinela_452,1.6920
lomas_centinela_453,0.5038
lomas_centinela_454,1.5772
lomas_centinela_455,0.7626
lomas_centinela_456,1.9161
lomas_centinela_457,0.9613
lomas_centinela_458,4.1952
lomas_centinela_459,0.8431
lomas_centinela_460,1.5684
lomas_centinela_461,0.3427
lomas_centinela_462,1.2824
lomas_centinela_463,1.4424
lomas_centinela_464,1.9076
lomas_centinela_465,2.3956
lomas_centinela_466,1.9249
lomas_centinela_467,1.7736
lomas_centinela_468,0.7356
lomas_centinela_469,0.1685
lomas_centinela_470,1.5977
lomas_centinela_471,7.3964
lomas_centinela_472,0.3102
lomas_centinela_473,2.4437
lomas_centinela_474,8.3673
lomas_centinela_475,1.3494
lomas_centinela_476,3.1042
lomas_centinela_477,2.3998
lomas_centinela_478,5.6773
lomas_centinela_479,0.3325
lomas_centinela_480,1.0284
lomas_centinela_481,0.7125
lomas_centinela_482,2.2737
lomas_centinela_483,0.4568
lomas_centinela_484,5.4367
lomas_centinela_485,1.6864
lomas_centinela_486,5.4079
lomas_centinela_487,1.4790
lomas_centinela_488,0.6828
lomas_centinela_489,5.9298
lomas_centinela_490,3.1932
lomas_centinela_491,2.5207
lomas_centinela_492,1.3721
lomas_centinela_493,5.4645
lomas_centinela_494,2.2029
lomas_centinela_495,1.9905
lomas_centinela_496,3.1990
lomas_centinela_497,3.2161
lomas_centinela_498,1.0734
lomas_centinela_499,0.9483
lomas_centinela_500,0.9567
lomas_centinela_501,0.5964
lomas_centinela_502,13.0798
lomas_centinela_503,0.6930
lomas_centinela_504,1.4470
lomas_centinela_505,0.5827
lomas_centinela_506,4.6207
lomas_centinela_507,2.6761
lomas_centinela_508,4.5222
lomas_centinela_509,1.2614
lomas_centinela_510,4.0245
lomas_centinela_511,0.7076
lomas_centinela_512,0.7203
lomas_centinela_513,3.1709
lomas_centinela_514,0.4681
lomas_centinela_515,1.2752
lomas_centinela_516,0.3429
lomas_centinela_517,0.8713
lomas_centinela_518,3.1431
lomas_centinela_519,2.9192
lomas_centinela_520,0.6317
lomas_centinela_521,2.3903
lomas_centinela_522,0.7484
lomas_centinela_523,2.5772
lomas_centinela_524,3.4572
lomas_centinela_525,0.8871
lomas_centinela_526,3.6425
lomas_centinela_527,11.5406
lomas_centinela_528,0.9811
lomas_centinela_529,3.2802
lomas_centinela_530,4.7083
lomas_centinela_531,3.1554
lomas_centinela_532,2.2044
lomas_centinela_533,0.8536
lomas_centinela_534,3.8928
lomas_centinela_535,1.2561
lomas_centinela_536,3.8554
lomas_centinela_537,4.6750
lomas_centinela_538,0.9097
lomas_centinela_539,5.4586
lomas_centinela_540,7.2222
lomas_centinela_541,1.3800
lomas_centinela_542,0.9025
lomas_centinela_543,1.2840
lomas_centinela_544,3.5333
lomas_centinela_545,0.3745
lomas_centinela_546,3.7716
lomas_centinela_547,0.9289
lomas_centinela_548,3.4086
lomas_centinela_549,1.1198
lomas_centinela_550,5.0961
lomas_centinela_551,1.4093
lomas_centinela_552,0.6092
lomas_centinela_553,7.3914
lomas_centinela_554,2.2005
lomas_centinela_555,2.8895
lomas_centinela_556,3.3064
lomas_centinela_557,6.5384
lomas_centinela_558,1.1563
lomas_centinela_559,4.0605
lomas_centinela_560,0.9383
lomas_centinela_561,3.0735
lomas_centinela_562,0.9341
lomas_centinela_563,1.2094
lomas_centinela_564,0.9317
lomas_centinela_565,3.9236
lomas_centinela_566,6.4788
lomas_centinela_567,1.8228
lomas_centinela_568,4.6991
lomas_centinela_569,3.2764
lomas_centinela_570,1.3897
lomas_centinela_571,5.7951
lomas_centinela_572,2.5163
lomas_centinela_573,13.2169
lomas_centinela_574,0.7703
lomas_centinela_575,5.9476
lomas_centinela_576,2.2964
lomas_centinela_577,3.1938
lomas_centinela_578,2.3192
lomas_centinela_579,2.4224
lomas_centinela_580,1.2693
lomas_centinela_581,1.5230
lomas_centinela_582,3.8111
lomas_centinela_583,3.1395
lomas_centinela_584,3.1283
lomas_centinela_585,7.5322
lomas_centinela_586,6.4617
lomas_centinela_587,1.0807
lomas_centinela_588,0.7071
lomas_centinela_589,0.9457
lomas_centinela_590,0.4656
lomas_centinela_591,1.6100
lomas_centinela_592,1.4997
lomas_centinela_593,8.8911
lomas_centinela_594,2.1979
lomas_centinela_595,0.9575
lomas_centinela_596,1.6816
lomas_centinela_597,2.5444
lomas_centinela_598,4.8093
lomas_centinela_599,21.0536
lomas_centinela_600,3.3744
lomas_centinela_601,2.2397
lomas_centinela_602,4.2770
lomas_centinela_603,2.4018
lomas_centinela_604,2.7190
lomas_centinela_605,0.5813
lomas_centinela_606,4.7313
lomas_centinela_607,4.0643
lomas_centinela_608,4.5410
lomas_centinela_609,0.8195
lomas_centinela_610,0.5608
lomas_centinela_611,5.1666
lomas_centinela_612,3.6402
lomas_centinela_613,1.8642
lomas_centinela_614,0.5655
lomas_centinela_615,1.9404
lomas_centinela_616,1.0147
lomas_centinela_617,8.1302
lomas_centinela_618,1.4351
lomas_centinela_619,9.0523
lomas_centinela_620,3.0072
lomas_centinela_621,0.4244
lomas_centinela_622,1.1815
lomas_centinela_623,0.3355
lomas_centinela_624,3.4166
lomas_centinela_625,0.8364
lomas_centinela_626,2.3878
lomas_centinela_627,0.8051
lomas_centinela_628,0.8208
lomas_centinela_629,3.2562
lomas_centinela_630,4.3016
lomas_centinela_631,10.0407
lomas_centinela_632,3.8907
lomas_centinela_633,0.5665
lomas_centinela_634,3.7494
lomas_centinela_635,1.4209
lomas_centinela_636,0.9355
lomas_centinela_637,0.2510
lomas_centinela_638,1.4987
lomas_centinela_639,6.6501
lomas_centinela_640,0.4909
lomas_centinela_641,1.7828
lomas_centinela_642,2.7702
lomas_centinela_643,0.8965
lomas_centinela_644,3.0170
lomas_centinela_645,4.0690
lomas_centinela_646,1.4268
lomas_centinela_647,2.4879
lomas_centinela_648,0.6065
lomas_centinela_649,0.7371
lomas_centinela_650,3.6285
lomas_centinela_651,1.0321
lomas_centinela_652,1.4082
lomas_centinela_653,3.1631
lomas_centinela_654,0.7324
lomas_centinela_655,1.3198
lomas_centinela_656,3.4046
lomas_centinela_657,0.1681
lomas_centinela_658,1.7282
lomas_centinela_659,1.4979
lomas_centinela_660,1.5418
lomas_centinela_661,5.4405
lomas_centinela_662,1.0392
lomas_centinela_663,1.3491
lomas_centinela_664,1.2391
lomas_centinela_665,9.8380
lomas_centinela_666,1.4714
lomas_centinela_667,1.0126
lomas_centinela_668,0.5565
lomas_centinela_669,0.3702
lomas_centinela_670,0.7251
lomas_centinela_671,6.8622
lomas_centinela_672,3.2710
lomas_centinela_673,1.2080
lomas_centinela_674,2.7298
lomas_centinela_675,5.0859
lomas_centinela_676,6.8737
lomas_centinela_677,2.9226
lomas_centinela_678,0.9401
lomas_centinela_679,2.1299
lomas_centinela_680,1.6348
lomas_centinela_681,1.5854
lomas_centinela_682,1.5696
lomas_centinela_683,0.5439
lomas_centinela_684,1.4203
lomas_centinela_685,2.4259
lomas_centinela_686,2.4725
lomas_centinela_687,3.3291
lomas_centinela_688,1.5766
lomas_centinela_689,2.8743
lomas_centinela_690,1.1111
lomas_centinela_691,4.3657
lomas_centinela_692,6.3687
lomas_centinela_693,2.0838
lomas_centinela_694,1.8615
lomas_centinela_695,3.6067
lomas_centinela_696,1.0436
lomas_centinela_697,1.0141
lomas_centinela_698,3.4712
lomas_centinela_699,3.9584
lomas_centinela_700,1.6667
lomas_centinela_701,2.7688
lomas_centinela_702,2.2707
lomas_centinela_703,0.4743
lomas_centinela_704,2.9229
lomas_centinela_705,0.8061
lomas_centinela_706,0.6704
lomas_centinela_707,0.7391
lomas_centinela_708,1.1380
lomas_centinela_709,2.4129
lomas_centinela_710,0.4101
