lon,lat,vs30_ms
-84.166667,9.908333,900.0
-84.158333,9.908333,856.4
-84.150000,9.908333,900.0
-84.141667,9.908333,696.5
-84.133333,9.908333,576.7
-84.125000,9.908333,648.1
-84.116667,9.908333,612.8
-84.108333,9.908333,421.7
-84.100000,9.908333,291.3
-84.091667,9.908333,298.9
-84.083333,9.908333,276.9
-84.075000,9.908333,308.6
-84.066667,9.908333,322.3
-84.058333,9.908333,324.5
-84.050000,9.908333,381.0
-84.041667,9.908333,390.7
-84.033333,9.908333,324.9
-84.025000,9.908333,340.9
-84.016667,9.908333,449.0
-84.008333,9.908333,508.9
-84.208333,9.900000,513.9
-84.200000,9.900000,900.0
-84.191667,9.900000,900.0
-84.183333,9.900000,900.0
-84.175000,9.900000,792.3
-84.166667,9.900000,900.0
-84.158333,9.900000,635.9
-84.150000,9.900000,900.0
-84.141667,9.900000,812.2
-84.133333,9.900000,698.0
-84.125000,9.900000,753.7
-84.116667,9.900000,814.0
-84.108333,9.900000,612.2
-84.100000,9.900000,474.8
-84.091667,9.900000,381.5
-84.083333,9.900000,340.5
-84.075000,9.900000,320.9
-84.066667,9.900000,285.7
-84.058333,9.900000,271.6
-84.050000,9.900000,352.9
-84.041667,9.900000,430.0
-84.033333,9.900000,393.8
-84.025000,9.900000,370.9
-84.016667,9.900000,358.1
-84.008333,9.900000,394.5
-84.208333,9.891667,900.0
-84.200000,9.891667,782.6
-84.191667,9.891667,900.0
-84.183333,9.891667,900.0
-84.175000,9.891667,834.8
-84.166667,9.891667,900.0
-84.158333,9.891667,713.0
-84.150000,9.891667,900.0
-84.141667,9.891667,900.0
-84.133333,9.891667,894.3
-84.125000,9.891667,844.1
-84.116667,9.891667,882.2
-84.108333,9.891667,813.7
-84.100000,9.891667,713.5
-84.091667,9.891667,574.7
-84.083333,9.891667,379.1
-84.075000,9.891667,331.7
-84.066667,9.891667,287.8
-84.058333,9.891667,393.0
-84.050000,9.891667,503.5
-84.041667,9.891667,453.4
-84.033333,9.891667,480.8
-84.025000,9.891667,449.1
-84.016667,9.891667,532.7
-84.008333,9.891667,630.0
-84.208333,9.883333,900.0
-84.200000,9.883333,900.0
-84.191667,9.883333,606.6
-84.183333,9.883333,849.5
-84.175000,9.883333,900.0
-84.166667,9.883333,900.0
-84.158333,9.883333,900.0
-84.150000,9.883333,900.0
-84.141667,9.883333,900.0
-84.133333,9.883333,900.0
-84.125000,9.883333,882.9
-84.116667,9.883333,869.4
-84.108333,9.883333,794.5
-84.100000,9.883333,737.2
-84.091667,9.883333,697.5
-84.083333,9.883333,523.2
-84.075000,9.883333,357.3
-84.066667,9.883333,386.4
-84.058333,9.883333,538.3
-84.050000,9.883333,581.6
-84.041667,9.883333,536.9
-84.033333,9.883333,365.4
-84.025000,9.883333,563.8
-84.016667,9.883333,638.2
-84.008333,9.883333,690.7
-84.208333,9.875000,570.0
-84.200000,9.875000,860.3
-84.191667,9.875000,900.0
-84.183333,9.875000,616.0
-84.175000,9.875000,900.0
-84.166667,9.875000,900.0
-84.158333,9.875000,900.0
-84.150000,9.875000,882.3
-84.141667,9.875000,900.0
-84.133333,9.875000,894.0
-84.125000,9.875000,821.1
-84.116667,9.875000,900.0
-84.108333,9.875000,811.4
-84.100000,9.875000,623.5
-84.091667,9.875000,675.2
-84.083333,9.875000,566.8
-84.075000,9.875000,492.8
-84.066667,9.875000,481.9
-84.058333,9.875000,542.4
-84.050000,9.875000,392.3
-84.041667,9.875000,478.1
-84.033333,9.875000,477.0
-84.025000,9.875000,611.1
