lon,lat,vs30_ms
-103.416667,20.816667,288.4
-103.408333,20.816667,396.2
-103.400000,20.816667,522.0
-103.391667,20.816667,521.4
-103.383333,20.816667,420.7
-103.375000,20.816667,475.8
-103.366667,20.816667,567.2
-103.358333,20.816667,536.9
-103.350000,20.816667,588.3
-103.341667,20.816667,900.0
-103.333333,20.816667,883.7
-103.325000,20.816667,522.1
-103.316667,20.816667,829.5
-103.308333,20.816667,824.8
-103.300000,20.816667,552.3
-103.291667,20.816667,643.4
-103.283333,20.816667,616.5
-103.275000,20.816667,476.3
-103.266667,20.816667,473.3
-103.258333,20.816667,603.4
-103.466667,20.808333,314.1
-103.458333,20.808333,288.6
-103.450000,20.808333,308.9
-103.441667,20.808333,350.5
-103.433333,20.808333,353.7
-103.425000,20.808333,347.0
-103.416667,20.808333,423.1
-103.408333,20.808333,452.5
-103.400000,20.808333,360.2
-103.391667,20.808333,560.3
-103.383333,20.808333,601.5
-103.375000,20.808333,554.2
-103.366667,20.808333,470.2
-103.358333,20.808333,485.2
-103.350000,20.808333,402.7
-103.341667,20.808333,900.0
-103.333333,20.808333,840.8
-103.325000,20.808333,735.1
-103.316667,20.808333,900.0
-103.308333,20.808333,745.2
-103.300000,20.808333,900.0
-103.291667,20.808333,712.5
-103.283333,20.808333,567.6
-103.275000,20.808333,591.3
-103.266667,20.808333,515.5
-103.258333,20.808333,580.8
-103.466667,20.800000,238.9
-103.458333,20.800000,181.6
-103.450000,20.800000,198.0
-103.441667,20.800000,262.9
-103.433333,20.800000,351.7
-103.425000,20.800000,304.2
-103.416667,20.800000,409.8
-103.408333,20.800000,323.2
-103.400000,20.800000,504.8
-103.391667,20.800000,435.5
-103.383333,20.800000,616.9
-103.375000,20.800000,619.7
-103.366667,20.800000,480.0
-103.358333,20.800000,259.0
-103.350000,20.800000,551.1
-103.341667,20.800000,900.0
-103.333333,20.800000,778.0
-103.325000,20.800000,626.8
-103.316667,20.800000,900.0
-103.308333,20.800000,846.0
-103.300000,20.800000,689.9
-103.291667,20.800000,830.8
-103.283333,20.800000,789.7
-103.275000,20.800000,696.0
-103.266667,20.800000,544.9
-103.258333,20.800000,557.9
-103.466667,20.791667,270.5
-103.458333,20.791667,282.0
-103.450000,20.791667,273.1
-103.441667,20.791667,274.2
-103.433333,20.791667,239.3
-103.425000,20.791667,306.0
-103.416667,20.791667,313.2
-103.408333,20.791667,295.2
-103.400000,20.791667,305.3
-103.391667,20.791667,562.3
-103.383333,20.791667,636.3
-103.375000,20.791667,504.0
-103.366667,20.791667,435.3
-103.358333,20.791667,482.4
-103.350000,20.791667,547.1
-103.341667,20.791667,791.3
-103.333333,20.791667,900.0
-103.325000,20.791667,487.8
-103.316667,20.791667,900.0
-103.308333,20.791667,900.0
-103.300000,20.791667,670.5
-103.291667,20.791667,598.1
-103.283333,20.791667,651.5
-103.275000,20.791667,560.9
-103.266667,20.791667,564.6
-103.258333,20.791667,520.1
-103.466667,20.783333,290.8
-103.458333,20.783333,295.6
-103.450000,20.783333,296.0
-103.441667,20.783333,327.2
-103.433333,20.783333,274.8
-103.425000,20.783333,233.0
-103.416667,20.783333,286.0
-103.408333,20.783333,338.6
-103.400000,20.783333,427.5
-103.391667,20.783333,498.8
-103.383333,20.783333,470.0
-103.375000,20.783333,476.3
-103.366667,20.783333,465.9
-103.358333,20.783333,685.5
-103.350000,20.783333,727.9
-103.341667,20.783333,877.3
-103.333333,20.783333,900.0
-103.325000,20.783333,873.0
-103.316667,20.783333,580.5
-103.308333,20.783333,900.0
-103.300000,20.783333,900.0
-103.291667,20.783333,687.8
-103.283333,20.783333,392.7
-103.275000,20.783333,354.1
-103.266667,20.783333,483.7
-103.258333,20.783333,508.6
-103.466667,20.775000,283.3
-103.458333,20.775000,282.5
-103.450000,20.775000,288.9
-103.441667,20.775000,349.5
-103.433333,20.775000,336.1
-103.425000,20.775000,360.1
-103.416667,20.775000,415.2
-103.408333,20.775000,422.7
-103.400000,20.775000,404.6
-103.391667,20.775000,486.0
-103.383333,20.775000,549.3
-103.375000,20.775000,542.9
-103.366667,20.775000,710.7
-103.358333,20.775000,666.3
-103.350000,20.775000,501.7
-103.341667,20.775000,759.6
-103.333333,20.775000,900.0
-103.325000,20.775000,900.0
-103.316667,20.775000,765.7
-103.308333,20.775000,698.7
-103.300000,20.775000,900.0
-103.291667,20.775000,740.7
-103.283333,20.775000,420.9
-103.275000,20.775000,262.7
-103.266667,20.775000,357.9
-103.258333,20.775000,547.7
-103.466667,20.766667,280.2
-103.458333,20.766667,273.1
-103.450000,20.766667,274.1
-103.441667,20.766667,302.4
-103.433333,20.766667,331.2
-103.425000,20.766667,403.0
-103.416667,20.766667,399.8
-103.408333,20.766667,423.9
-103.400000,20.766667,378.2
-103.391667,20.766667,371.1
-103.383333,20.766667,426.4
-103.375000,20.766667,520.2
-103.366667,20.766667,546.4
-103.358333,20.766667,381.3
-103.350000,20.766667,516.5
-103.341667,20.766667,500.9
-103.333333,20.766667,565.4
-103.325000,20.766667,874.5
-103.316667,20.766667,900.0
-103.308333,20.766667,563.5
-103.300000,20.766667,900.0
-103.291667,20.766667,756.5
-103.283333,20.766667,472.7
-103.275000,20.766667,363.2
-103.266667,20.766667,495.9
-103.258333,20.766667,693.1
-103.466667,20.758333,286.2
-103.458333,20.758333,275.0
-103.450000,20.758333,272.9
-103.441667,20.758333,272.9
-103.433333,20.758333,291.0
-103.425000,20.758333,349.0
-103.416667,20.758333,274.1
-103.408333,20.758333,406.9
-103.400000,20.758333,397.6
-103.391667,20.758333,324.7
-103.383333,20.758333,274.8
-103.375000,20.758333,355.6
-103.366667,20.758333,424.4
-103.358333,20.758333,511.0
-103.350000,20.758333,522.2
-103.341667,20.758333,470.2
-103.333333,20.758333,409.3
-103.325000,20.758333,833.4
-103.316667,20.758333,900.0
